Outletid,OutletName,DistCode,DistributorName,MainChannelCode,MainChannelType,SM_Code,SM_Name,ASM_Code,ASM_Name,RSE_Code,RSE_Name,PSR_Code,PSR_Desc
"C032855","SADHUKHAN ENTERPRISE (TONA)","C000336","MODERN DRINKS TRADERS","MC0005","WHOLESALE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032856","JAGANNATH MISTANNA BHANDAR","C000336","MODERN DRINKS TRADERS","MC0020","SWEET/ CHAAT/ BAKERY","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032857","FANCY VARIETIES STORES (PURBAPARA)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032858","KANAI GHOSH (GLBATI)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032859","MD.ALI HOSSAIN MOLLA","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032860","RABIUL MOLLA","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032861","SALAM MUDIO BHANDAR  (HATISALA)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032862","HAFIZUR RAHAMAN  (KASHIPUR)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032864","ARSAD RICE AND MUDI","C000336","MODERN DRINKS TRADERS","MC0015","GROCERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032865","MD JAMALUDDIN","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032866","MAA TARA MISTANNA BHANDAR (HATISALA)","C000336","MODERN DRINKS TRADERS","MC0020","SWEET/ CHAAT/ BAKERY","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032867","TARAKNATH MUDI BHANDAR","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032868","HEJE BEJE CAKE STORES","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032869","SAMDANI MOLLA","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
